#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
77,Steven Stamkos,Predators,"C,RW",129.1,553.6,83,59,31.5,27.8,'-5.1,49,18,17,5,13,11,24.5,191.1,18.2,359.8,42.6,86.2,—,—,—,—,—,—,—,—,—,—
78,Bryan Rust,Penguins,RW,125.3,552.0,73,60,27.8,32.5,'-1.6,28,20,20,4,7,12,19.2,176.2,19.3,3.4,61.4,65.8,—,—,—,—,—,—,—,—,—,—
79,Alex Tuch,Capitals,"LW,RW",101.3,551.2,79,58,26.8,31.4,3.8,46,22,28,4,2,3,7.2,171.9,18.5,34.7,88.1,78.9,—,—,—,—,—,—,—,—,—,—
80,Timo Meier,Devils,"LW,RW",96.8,550.3,80,53,26.4,26.5,1.3,37,20,21,4,6,6,11.9,225.7,18.3,22.8,56.4,134.7,—,—,—,—,—,—,—,—,—,—
81,Alex Ovechkin,Capitals,"LW,RW",94.0,549.0,80,58,28.5,29.1,2.9,28,20,18,4,9,11,20.1,217.1,16.3,0.6,20.2,123.1,—,—,—,—,—,—,—,—,—,—
82,Mathew Barzal,Islanders,"C,RW",168.4,543.8,75,66,20.8,44.9,'-3.5,38,17,31,3,4,14,18.1,175.7,20.9,140.6,52.1,52,—,—,—,—,—,—,—,—,—,—
83,Rickard Rakell,Penguins,"C,LW,RW",134.1,542.9,78,59,28,30.8,'-1.8,22,21,23,4,7,8,14.9,185.3,18.9,31.6,58.7,107.4,—,—,—,—,—,—,—,—,—,—
84,Dylan Holloway,Blues,"C,LW",105.6,542.1,73,63,28.4,34.9,'-5.7,24,19,29,4,9,6,15.3,179.8,19.2,25.5,51.1,180.5,—,—,—,—,—,—,—,—,—,—
85,J.T. Miller,Rangers,"C,LW,RW",112.2,541.9,78,69,22.1,46.7,'-4.6,45,15,28,3,6,17,23.3,151.1,19.8,653.7,49.1,166,—,—,—,—,—,—,—,—,—,—
86,Logan Cooley,Utah,C,122.7,540.0,81,66,27.8,37.8,1.4,42,20,26,4,8,12,19.1,158,18,365,38.8,79,—,—,—,—,—,—,—,—,—,—
87,Kevin Fiala,Kings,LW,200.6,538.3,80,57,27.6,28.9,1.7,45,20,15,4,8,14,21.5,199.5,18.6,8.3,31.1,66,—,—,—,—,—,—,—,—,—,—
88,Will Smith,Sharks,"LW,RW",63.4,537.9,75,68,27.3,40.7,1,24,20,33,4,8,8,15.7,175,18.7,54.8,20.4,33.6,—,—,—,—,—,—,—,—,—,—
89,Carter Verhaeghe,Panthers,LW,206.9,537.2,81,58,26,31.8,9.7,38,21,25,4,5,7,11.9,204,18.1,52.5,27.2,83.1,—,—,—,—,—,—,—,—,—,—
90,Dylan Cozens,Senators,C,203.7,536.2,83,61,27.2,33.7,0.4,50,19,22,4,8,11,19.8,182.7,17.1,499.7,33.4,186.4,—,—,—,—,—,—,—,—,—,—
91,Vincent Trocheck,Utah,C,205.6,535.2,81,58,22.9,34.9,1.4,52,16,24,4,4,10,14.5,180.4,19.7,786,64,195.5,—,—,—,—,—,—,—,—,—,—
92,Ryan O'Reilly,Predators,C,194.0,533.2,82,66,23.6,41.9,'-5.2,28,16,29,4,7,13,20.1,143.6,19.5,743.6,65,29.6,—,—,—,—,—,—,—,—,—,—
93,Connor Bedard,Blackhawks,"C,RW",62.5,532.4,64,67,26,41.4,'-8.6,43,19,30,4,7,12,18.3,182,20,244.6,27.6,41.2,—,—,—,—,—,—,—,—,—,—
94,Ivan Demidov,Canadiens,RW,84.8,532.4,82,69,23.7,44.7,2.7,37,16,36,4,7,9,16.5,166,15.8,0,23.6,67.9,—,—,—,—,—,—,—,—,—,—
95,Nick Schmaltz,Utah,"C,RW",102.0,531.3,78,62,24.1,37.9,1.5,25,16,28,4,7,9,16.3,169.6,19.5,302.7,46.9,28.3,—,—,—,—,—,—,—,—,—,—
96,Brayden Point,Lightning,C,84.1,528.4,77,63,27.2,35.4,5.4,21,16,25,4,11,10,20.7,151.6,18,364.4,35,34.9,—,—,—,—,—,—,—,—,—,—
97,Mark Stone,Knights,RW,106.1,524.4,62,66,21.7,44.3,5,18,14,26,3,7,18,25.1,123.7,19.8,4.3,45.5,41.3,—,—,—,—,—,—,—,—,—,—
98,Erik Karlsson,Penguins,D,75.1,520.1,82,55,11.7,43.5,'-2.3,34,9,28,2,2,15,17.8,176.2,23.3,0,86.3,32.7,—,—,—,—,—,—,—,—,—,—
99,John Carlson,Lightning,D,85.1,519.3,78,50,9.2,40.9,6.9,37,7,28,1,2,12,14.8,145,23,0,126.6,49.2,—,—,—,—,—,—,—,—,—,—
100,Jackson LaCombe,Ducks,D,79.5,518.8,76,50,10.5,39.9,2.5,30,7,25,2,3,14,16.5,128.7,25.5,0,142.4,76.5,—,—,—,—,—,—,—,—,—,—
101,Tom Wilson,Capitals,RW,131.8,518.5,78,57,27,29.9,3.8,80,19,24,4,7,5,11.4,156.5,19.7,16.2,65.6,210.3,—,—,—,—,—,—,—,—,—,—
102,Porter Martone,Flyers,RW,69.1,517.5,74,58,25,33,0,70,19,25,3,6,8,14,205,17,0,23,185,—,—,—,—,—,—,—,—,—,—
103,Miro Heiskanen,Stars,D,72.6,516.7,76,51,8.6,41.9,6,33,7,24,1,2,17,18.9,138.7,24.6,0,122.9,39.5,—,—,—,—,—,—,—,—,—,—
104,Dylan Strome,Capitals,C,201.1,515.7,83,62,22.3,39.3,3.7,39,16,24,3,6,15,21.4,135,17,729.6,53,24.9,—,—,—,—,—,—,—,—,—,—
